Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,likes_anomaly,shares_anomaly,comments_anomaly,any_anomaly,anomaly_count,youtube_anomaly,tiktok_anomaly,instagram_anomaly,twitter_anomaly,platform_anomaly,view_like_anomaly,day_of_week,is_weekend,day_of_month,day_of_year,week_of_year,month,quarter,year,year_month,total_interactions,engagement_rate,like_rate,share_rate,comment_rate,likes_per_share,likes_per_comment,comment_to_like_ratio,share_to_like_ratio,virality_score,engagement_density,Engagement_Level_Cal
2023-02-26,Twitter,#Music,Post,Australia,4585669,465871,69083,8999,Medium,0,0,0,0,0,False,False,False,True,1,0,6,1,26,57,8,2,1,2023,2023-02,543953,0.11862020568863561,0.10159278796773427,0.015064974147725414,0.0019624177055915493,6.7435440912512306,51.763444444444445,0.019316464608304426,0.14828751244977162,0.13466636282157243,0.106041536783802,High
2022-03-16,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,0,0,0,0,0,False,False,False,False,0,0,2,0,16,75,11,3,1,2022,2022-03,282276,0.06875304306186765,0.047631898660675576,0.009164683222055839,0.01195644443318625,5.197193579249495,3.98370340191485,0.2510163069323638,0.19240543871221766,0.08389593175456664,0.0643301495216306,High
2022-11-08,YouTube,#Fitness,Shorts,Japan,1633015,312907,45774,30725,High,0,0,0,0,0,True,False,False,False,1,0,1,0,8,312,45,11,4,2022,2022-11,389406,0.23845831177300883,0.19161294194300607,0.02803034385456113,0.018814879952186628,6.835761878754779,10.183785718935104,0.09819180078489524,0.14628580924744652,0.27589594958040825,0.1925444801057742,High
2023-12-19,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,0,0,0,0,0,False,False,False,False,0,0,1,0,19,353,51,12,4,2023,2023-12,441993,0.17881494787178523,0.15001349224105112,0.021891009393593553,0.006910373894880271,6.852617767182274,21.70717714553331,0.0460648916001219,0.14592654320488238,0.20416107187055862,0.1516904313052825,High
2022-04-05,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,0,0,0,0,0,False,False,False,False,0,0,1,0,5,95,14,4,2,2022,2022-04,195001,0.06331359582690865,0.040337683657129204,0.014306197165904094,0.008669694447005835,2.819531125887933,4.652548402801183,0.21492619005457267,0.3546579951383635,0.08195461965944614,0.05954367185314835,High
2023-07-09,Twitter,#Dance,Post,UK,294870,213142,20351,20767,Low,0,0,0,0,0,False,False,False,True,1,0,6,1,9,190,27,7,3,2023,2023-07,254260,0.8622782921287347,0.7228313398062204,0.06901662082741267,0.07042740723909778,10.472779088050315,10.263000770416024,0.09743224032691668,0.09548049900770844,0.9665056923196923,0.46302332780944405,High
2022-09-17,TikTok,#Tech,Video,UK,2051091,24472,54704,41737,Medium,0,0,0,0,0,False,True,False,False,1,0,5,1,17,260,37,9,3,2022,2022-09,120913,0.05895057800945935,0.011931205426182735,0.02667067103767164,0.02034867280453534,0.4473448496481126,0.586324212947434,1.7054304744003597,2.2352796959915007,0.09579555670832902,0.05566886617151718,Medium
2022-05-08,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,0,0,0,0,0,False,False,False,False,0,0,6,1,8,128,18,5,2,2022,2022-05,234917,0.06787244947783312,0.04776873615888338,0.014468291654086569,0.005635402055094325,3.3015495826510644,8.47610991489798,0.1179718875502008,0.30288019548071804,0.085158422549698,0.06355857341485052,Medium
2023-04-24,YouTube,#Education,Post,UK,3143932,298685,84720,37162,Low,0,0,0,0,0,True,False,False,False,1,0,0,0,24,114,17,4,2,2023,2023-04,420567,0.13377102303739394,0.09500361489891801,0.026947139140687793,0.01182022644884608,3.5255131549438747,8.037160616742458,0.1244182854234882,0.28364235350836664,0.1666282328535627,0.11798768915351078,High
2022-01-26,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,0,0,0,0,0,False,False,False,False,0,0,2,0,26,26,4,1,1,2022,2022-01,112157,0.02857935697784582,0.009014355544672099,0.018558727471437084,0.0010062666792715435,0.4857138934274299,8.955949367088607,0.11162619781213783,2.0587387285524494,0.047641210506453584,0.027785271777004347,Low
2023-08-02,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,0,0,0,0,0,False,False,False,False,0,0,2,0,2,214,31,8,3,2023,2023-08,256759,0.42809862513046754,0.37296150004918577,0.037566254895651144,0.017570156410739505,9.927658441327889,21.224973906442738,0.04710962890773433,0.1007237662668592,0.4744492444565973,0.29976824961326287,High
2022-01-07,Twitter,#Education,Video,Japan,4357851,449803,63438,28280,High,0,0,0,0,0,False,False,False,True,1,0,4,0,7,7,1,1,1,2022,2022-01,541521,0.12426331235280876,0.10321667647272097,0.014557171744244642,0.006489435621035318,7.090322987436751,15.904777058802729,0.06287182861868724,0.141034761807365,0.14206517339276323,0.11052865550931834,High
2023-07-19,YouTube,#Dance,Post,Germany,731492,474649,98377,3654,High,0,0,0,0,0,True,False,False,False,1,0,2,0,19,200,29,7,3,2023,2023-07,576680,0.7883613217916259,0.6488770227466292,0.1344879581896204,0.00499526311256567,4.8247474028746264,129.86292749658003,0.007698304013483619,0.2072621931949858,0.9253458337947185,0.440828881828995,High
2022-09-08,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,0,0,0,0,0,False,False,False,False,0,0,3,0,8,251,36,9,3,2022,2022-09,265401,0.0540441971534658,0.040173983340850754,0.010836897745078974,0.003033305062397993,3.7070782991037037,13.243404712358194,0.07550383196139654,0.26974777989538135,0.0663977364246057,0.05127317934050266,High
2023-05-14,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,0,0,0,0,0,False,False,False,False,0,0,6,1,14,134,19,5,2,2023,2023-05,251714,0.057610213171109065,0.048584417364858724,0.004866726890428381,0.0041590557304770764,9.982506466023983,11.680955263302701,0.08560432261316475,0.10017005921452428,0.0645564547414311,0.054472065845858474,High
2022-05-22,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,0,0,0,0,0,False,False,False,False,0,0,6,1,22,142,20,5,2,2022,2022-05,407040,0.21715320386868164,0.17210545240760164,0.01903023732980232,0.02601739828151158,9.043535546086567,6.6148783038405545,0.15117079249353693,0.11057278008195857,0.24919202448947364,0.17841074006005758,High
2023-09-30,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,0,0,0,0,0,False,False,False,False,0,0,5,1,30,273,39,9,3,2023,2023-09,172029,0.1040137081468305,0.05552666774693635,0.04678011110654281,0.001706866403693555,1.1869563531555751,32.51983002832861,0.030739244531071356,0.8424708995285125,0.15164718956556228,0.09421414551221949,High
2023-10-23,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,0,0,0,0,0,False,False,False,False,0,0,0,0,23,296,43,10,4,2023,2023-10,319797,0.06828483456039357,0.06647689942158072,0.0007168051628761973,0.0010911153953819981,92.71292435973794,60.913715515554685,0.016413399243891548,0.010782736059049693,0.06954718284040612,0.06392006359286495,High
2022-03-22,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,0,0,0,0,0,False,False,False,False,0,0,1,0,22,81,12,3,1,2022,2022-03,259397,0.18994328728705273,0.114350905352446,0.06218989262303245,0.013402350225825537,1.8387161342737046,8.531687062937063,0.1172029584093747,0.5438478532321583,0.2588342159372492,0.1596238151148394,High
2022-03-10,Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,0,0,0,0,0,False,False,False,False,0,0,3,0,10,69,10,3,1,2022,2022-03,225962,0.09647446092233994,0.03925546794546656,0.03824530483358352,0.018973646953542745,1.026401277085031,2.0689003397763326,0.4833324269943988,0.9742563489042362,0.14420654804294772,0.08798605381213065,High
2022-07-08,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,0,0,0,0,0,False,False,False,False,0,0,4,0,8,189,27,7,3,2022,2022-07,59276,0.011908937891340886,0.0017541149173299763,0.0009040793870100668,0.00925074119441745,1.939791157520551,0.18961473309299395,5.27313330279432,0.5153458543289052,0.017438385482976285,0.011768784171584886,Low
2022-11-11,YouTube,#Viral,Shorts,Australia,3005703,16688,77970,15891,Low,0,0,0,0,0,True,False,False,False,1,0,4,0,11,315,45,11,4,2022,2022-11,110549,0.036779748365024754,0.005552110254369692,0.02594067812399358,0.005286947750011312,0.2140282925703146,1.050088094638812,0.9521840733417221,4.671939600934747,0.06536388812737381,0.0354749872603371,Medium
2023-11-18,YouTube,#Education,Post,UK,936390,368646,92202,2016,Low,0,0,0,0,0,True,False,False,False,1,0,5,1,18,322,46,11,4,2023,2023-11,462864,0.4943068593214366,0.3936881067844522,0.09846527785935576,0.0021529467925257718,3.9981996247410603,182.76945959345562,0.005468646157435162,0.25010918303960156,0.5938480826919524,0.3307934084876656,High
2023-07-01,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,0,0,0,0,0,False,False,False,False,0,0,5,1,1,182,26,7,3,2023,2023-07,185097,0.09973994986517914,0.08522268329995145,0.003461046655426213,0.01105616616472599,24.619551681195517,7.707783030362103,0.1297318487325885,0.040611544225042207,0.10872902585789286,0.0906941226218131,Medium
2023-07-15,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,0,0,0,0,0,False,False,False,False,0,0,5,1,15,196,28,7,3,2023,2023-07,55050,0.04024652366539457,0.007891383448565274,0.005568711110591225,0.026786399682414586,1.4169073247571542,0.2945960698689956,3.394071329319129,0.7056044465030107,0.059208405193369604,0.03868940943304729,High
2022-09-28,TikTok,#Gaming,Video,USA,4499253,469481,89583,41549,High,0,0,0,0,0,False,True,False,False,1,0,2,0,28,271,39,9,3,2022,2022-09,600613,0.13349171518027547,0.104346409426985,0.019910634074004268,0.009234642009542026,5.240679139131988,11.299181708784596,0.08849966558888307,0.19081242731350723,0.1580196405893066,0.11777034926015703,High
2022-01-31,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,0,0,0,0,0,False,False,False,False,0,0,0,0,31,31,5,1,1,2022,2022-01,370706,0.082187759742484,0.06088733832644788,0.018211595312071137,0.003088807882446162,3.343287397740553,19.71083040264121,0.05072970374901686,0.2991020711351918,0.1019437407742594,0.07594593359847397,High
2022-03-03,Twitter,#Education,Post,India,4380015,355402,41860,42729,High,0,0,0,0,0,False,False,False,True,1,0,3,0,3,62,9,3,1,2022,2022-03,439991,0.1004542221887368,0.08114171272433708,0.009557042713999219,0.009755443815730354,8.490050404911493,8.317388251813714,0.12022689735314558,0.11778178574744727,0.11488896387593105,0.09128432620208357,High
2022-03-17,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,0,0,0,0,0,False,False,False,False,0,0,3,0,17,76,11,3,1,2022,2022-03,433656,0.45967595757874485,0.427175862522207,0.01978066474735954,0.012718943052546332,21.59447004608295,33.583,0.02977441519415777,0.04630555562448356,0.4858156065957456,0.31491644100327437,High
2022-09-10,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,0,0,0,0,0,False,False,False,False,0,0,5,1,10,253,36,9,3,2022,2022-09,166680,0.04207732958908716,0.012535345276109054,0.023495441750000443,0.006046531940820124,0.5335167019436357,2.0730597419947396,0.48234891354693193,1.8742976820992006,0.06859602668734012,0.04037831780265206,High
2023-10-23,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,0,0,0,0,0,False,False,False,False,0,0,0,0,23,296,43,10,4,2023,2023-10,230942,0.056601877595516985,0.04205986451845819,0.0044101719731781935,0.010131827231255604,9.536482356210058,4.151161103047896,0.24088922556960551,0.10485402948546121,0.06607794931169798,0.05356973027941659,High
2023-03-06,Twitter,#Comedy,Video,Germany,3934142,380972,42858,26194,Low,0,0,0,0,0,False,False,False,True,1,0,0,0,6,65,10,3,1,2023,2023-03,450024,0.11438936367828106,0.0968373544123841,0.010893859221690722,0.0066581209681498615,8.888961478335938,14.543691544187823,0.06875552860701414,0.11249616114527801,0.12861225430799034,0.10264757310740515,High
2023-06-02,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,0,0,0,0,0,False,False,False,False,0,0,4,0,2,153,22,6,2,2023,2023-06,413872,0.25863169018089194,0.2033247554426279,0.0392554107576498,0.016051362359848973,5.179452076601028,12.66664071320123,0.07894421410767467,0.19306694860297077,0.30591262049770096,0.20548639621788095,High
2023-11-07,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,0,0,0,0,0,False,False,False,False,0,0,1,0,7,311,45,11,4,2023,2023-11,134307,0.06069393548701972,0.033722904949165286,0.010907613592919202,0.01606338951708605,3.0915568812660537,2.0993051453005878,0.4763283082077052,0.3234438860971524,0.07963321641063277,0.05722096964677372,High
2023-04-29,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,0,0,0,0,0,False,False,False,False,0,0,5,1,29,119,17,4,2,2023,2023-04,436290,0.09260782436246552,0.06661228513244515,0.01827024268767891,0.007725276885215906,3.6459018297995933,8.622403560830861,0.1159733861870742,0.2742765006914748,0.11474068583562683,0.08475852204014922,High
2022-08-15,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,0,0,0,0,0,False,False,False,False,0,0,0,0,15,227,33,8,3,2022,2022-08,485005,0.17650743070426103,0.1537465212940295,0.007840849497541477,0.014919995676523926,19.60749094959621,10.304478267232549,0.09704258824420542,0.050998428268444175,0.19180821380389834,0.15002661785026136,High
2022-05-23,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,0,0,0,0,0,False,False,False,False,0,0,0,0,23,143,21,5,2,2022,2022-05,321675,0.1545454894865347,0.10812822164793673,0.03259302392060831,0.013824169668213203,3.3174776315207617,7.821407471763684,0.12784921488301002,0.30142805093707514,0.19405052399147316,0.13385829392938542,High
2023-01-14,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,0,0,0,0,0,False,False,False,False,0,0,5,1,14,14,2,1,1,2023,2023-01,193619,0.0857292514392334,0.07062623561265356,0.011292918514320377,0.003810059353684644,6.253783423508194,18.534627004415523,0.05394646103692558,0.15989593128957433,0.09892716167182128,0.07896006423847514,High
2022-11-06,YouTube,#Comedy,Post,Japan,1357850,472399,90644,33331,Low,0,0,0,0,0,True,False,False,False,1,0,6,1,6,310,44,11,4,2022,2022-11,596374,0.4392046249585742,0.3479019421129417,0.06675548348088266,0.02454687590906513,5.211528490264217,14.17253690147606,0.07055673158340389,0.19187976291278577,0.5182332229383048,0.3051717715062347,High
2023-09-17,Twitter,#Fitness,Post,Canada,392337,332566,43169,45161,Medium,0,0,0,0,0,False,False,False,True,1,0,6,1,17,260,37,9,3,2023,2023-09,420896,1.0,0.8476517696475998,0.11003012708429977,0.11510738190030025,7.703636784804262,7.36384571099597,0.13579519314904967,0.12980542266671077,1.2403730966666497,0.5175589283760005,High
2023-01-13,Twitter,#Dance,Post,USA,4006009,491965,60534,31438,High,0,0,0,0,0,False,False,False,True,1,0,4,0,13,13,2,1,1,2023,2023-01,583937,0.1457652741169578,0.12280673288384203,0.015110796028966478,0.007847708817501704,8.126951350458413,15.648239447819588,0.06390279003020534,0.12304508848172435,0.16479988816802754,0.12722088669452755,High
2023-08-25,YouTube,#Fitness,Post,Australia,3934991,389693,81891,32967,Medium,0,0,0,0,0,True,False,False,False,1,0,4,0,25,237,34,8,3,2023,2023-08,504551,0.12822164015114648,0.09903272992676987,0.02081096988253089,0.008377907756864563,4.758621110731207,11.820340936665858,0.08459714545258587,0.2101418035689541,0.15322153132712849,0.11364933589996445,High
2022-06-30,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,0,0,0,0,0,False,False,False,False,0,0,3,0,30,181,26,6,2,2022,2022-06,117094,0.04145187406763905,0.012080774024813626,0.0189449306309537,0.010426154737701778,0.6376665358671076,1.1586595592978643,0.863011691622469,1.5681425264453366,0.0656098673932737,0.03980200631426093,High
2022-10-30,Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium,0,0,0,0,0,False,False,False,False,0,0,6,1,30,303,43,10,4,2022,2022-10,201402,1.0,0.9313490279664827,0.04751827140165769,0.038381307863647615,19.59772558188968,24.2625,0.04121022147985857,0.05102062951474002,1.0839575325652695,0.5042765431109598,High
2023-12-26,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,0,0,0,0,0,False,False,False,False,0,0,1,0,26,360,52,12,4,2023,2023-12,564612,0.24639503275378347,0.2071000029674989,0.03661108133914498,0.00268384092111166,5.6566899100065555,77.15298325475533,0.012959127123769147,0.17677935136934778,0.28434792702745637,0.19768614787351857,High
2023-05-31,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,0,0,0,0,0,False,False,False,False,0,0,2,0,31,151,22,5,2,2023,2023-05,71469,0.020271598404004117,0.011619951814938504,0.0011688876761628037,0.007482753163031041,9.938622028141678,1.5528390569327573,0.6439416129662175,0.10059070494044133,0.02518185691181067,0.019868825551661615,High
2023-04-21,TikTok,#Music,Video,USA,866896,122451,79602,25491,Low,0,0,0,0,0,False,True,False,False,1,0,4,0,21,111,16,4,2,2023,2023-04,227544,0.26248131263727137,0.14125207492931685,0.09182405752932586,0.029404877396045897,1.538271170684522,4.803506982582771,0.2081713651063274,0.6500669650148629,0.3690075060820374,0.20790906765103614,High
2023-10-24,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,0,0,0,0,0,False,False,False,False,0,0,1,0,24,297,43,10,4,2023,2023-10,405223,0.09872567781734107,0.08077283278792048,0.014709092574653993,0.003243728401943606,5.491262939958592,24.89936162223057,0.040158534819748085,0.1821039042517253,0.11505661054014388,0.08985471060753149,High
2023-02-23,TikTok,#Dance,Post,India,2601441,93254,55921,48758,Low,0,0,0,0,0,False,True,False,False,1,0,3,0,23,54,8,2,1,2023,2023-02,197933,0.07608590777188488,0.03584704175607221,0.02149615482490096,0.018742681943322202,1.6675726905332426,1.912549478045079,0.5228459600021447,0.5996568548603292,0.10695337432085743,0.07070616502117974,Medium
2023-12-05,Instagram,#Gaming,Reel,Canada,1142030,212596,72334,18,High,0,0,0,0,0,False,False,True,False,1,0,1,0,5,339,49,12,4,2023,2023-12,284948,0.24951008292251517,0.18615606756734274,0.06333803548239934,1.5761393517338846e-05,2.9390474873850834,11189.263157894737,8.46672342507185e-05,0.3402399845717484,0.3128557806224174,0.19968633013262993,High
2023-12-11,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,0,0,0,0,0,False,False,False,False,0,0,0,0,11,345,50,12,4,2023,2023-12,392918,0.13231384389298054,0.12058962982120103,0.008987093176436358,0.002737076339106517,13.417587770242422,44.052404969860994,0.022697380362633097,0.07452604418281891,0.14266943068273352,0.11685262403758621,High
2022-11-03,TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,0,0,0,0,0,False,False,False,False,0,0,3,0,3,307,44,11,4,2022,2022-11,134193,0.15686556434219986,0.01650211697484178,0.08609810325600316,0.05426516074279983,0.19166383816441518,0.30409495293281347,3.288142796430089,5.217027907635642,0.27009606460104785,0.13559532687049466,High
2023-05-26,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,0,0,0,0,0,False,False,False,False,0,0,4,0,26,146,21,5,2,2023,2023-05,432176,0.09704277057451298,0.08444086171201717,0.008196323757258402,0.004405563314815896,10.30200257513081,19.16589368533714,0.052173219342915265,0.09706558881014746,0.10744185419875782,0.0884585115343246,High
2023-06-10,Twitter,#Dance,Post,Japan,1059696,75851,99754,47614,High,0,0,0,0,0,False,False,False,True,1,0,5,1,10,161,23,6,2,2023,2023-06,223219,0.21064437348069634,0.07157800767577902,0.09413445541508564,0.04493171161190416,0.7603729136384141,1.5930064055444713,0.6277224067921743,1.3151136423561673,0.3272444859238065,0.1739936005113355,High
2022-01-20,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,0,0,0,0,0,False,False,False,False,0,0,3,0,20,20,3,1,1,2022,2022-01,409814,0.7046599160558276,0.5877199618967706,0.11610480451461369,0.0008339380100347675,5.0619029988893,703.3024691358024,0.0014189335470998169,0.19755065739044955,0.8211804779410501,0.41337272579638107,High
2022-02-05,YouTube,#Fitness,Post,Australia,4226427,421149,53769,27804,Medium,0,0,0,0,0,True,False,False,False,1,0,5,1,5,36,5,2,1,2022,2022-02,502722,0.11894728100118611,0.09964655732926245,0.012722090616473296,0.006578604911760002,7.832415845266877,15.146520409998201,0.06601923305235664,0.12767185088448296,0.13495864592984905,0.10630284645292419,High
2022-05-16,Twitter,#Dance,Post,Japan,485214,50577,92342,43775,Medium,0,0,0,0,0,False,False,False,True,1,0,0,0,16,136,20,5,2,2022,2022-05,186694,0.3847663092985775,0.10423626639737024,0.19031151139185723,0.09021773852828127,0.5477080016893539,1.155359100877193,0.8654948791964886,1.8257345090750918,0.6201858969735066,0.2778564922578686,High
2022-01-19,Instagram,#Education,Post,Australia,1419701,68719,98115,36515,Low,0,0,0,0,0,False,False,True,False,1,0,2,0,19,19,3,1,1,2022,2022-01,203349,0.14323368089477995,0.04840381995658244,0.06910957369926929,0.025720186348966192,0.7003852582657263,1.8818873918282397,0.5313591385331781,1.4277502910360884,0.2252032468785703,0.12528819198422722,High
2022-12-07,TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,0,0,0,0,0,False,False,False,False,0,0,2,0,7,341,49,12,4,2022,2022-12,267775,0.061157389463913886,0.031261690759623595,0.02038914156536388,0.009506543171134679,1.5332347604005645,3.28836036036036,0.3040933963573667,0.6522037712139919,0.08629978864705337,0.05763272260188471,Medium
2022-06-12,TikTok,#Music,Post,India,3647159,216783,79133,7687,High,0,0,0,0,0,False,False,False,False,0,0,6,1,12,163,23,6,2,2022,2022-06,303603,0.08324369735457104,0.059438851051228904,0.021697156143410216,0.002107667335680365,2.739441959208431,28.197580645161292,0.03545925898590302,0.3650315521440697,0.10599466434156989,0.07684669438452632,Medium
2023-05-08,YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,0,0,0,0,0,False,False,False,False,0,0,0,0,8,128,19,5,2,2023,2023-05,146744,0.0838486833647124,0.07170137123122829,0.0005382531115258162,0.011609011111326971,133.06998939554612,6.176050792400827,0.1619065074988445,0.00750681350907671,0.09019139412127036,0.07736198295172679,High
2023-05-12,Instagram,#Dance,Post,India,1796369,145118,68421,16720,High,0,0,0,0,0,False,False,True,False,1,0,4,0,12,132,19,5,2,2023,2023-05,230259,0.12818023468452194,0.08078402556266248,0.03808847843150353,0.009307659335214906,2.120926017947444,8.678787153878357,0.11521578842191581,0.47148202509664483,0.1709224714284919,0.11361680584695366,High
2022-05-10,Twitter,#Fitness,Video,India,1535141,15408,23087,23147,Medium,0,0,0,0,0,False,False,False,True,1,0,1,0,10,130,19,5,2,2022,2022-05,61642,0.040153966313192076,0.010036856525324694,0.01503899964954382,0.015078083981807546,0.6673596673596673,0.6656298600311042,1.5021740541242132,1.4982802258420405,0.06273198179712365,0.038603867901900256,High
2023-08-29,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium,0,0,0,0,0,False,False,False,False,0,0,1,0,29,241,35,8,3,2023,2023-08,202060,0.32984325670835823,0.2157428643720566,0.047894612264220246,0.06620524163599115,4.504379537166423,3.2586172888209477,0.3068687388396235,0.22199691292636423,0.4108399513544838,0.24803167970696763,High
2022-01-27,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,0,0,0,0,0,False,False,False,False,0,0,3,0,27,27,4,1,1,2022,2022-01,180475,0.04277031741156575,0.040760890816808004,0.0011951276331377634,0.0008142888255921783,34.09912767644727,50.042478906022694,0.019977092623708552,0.029320278842072826,0.044372579321471796,0.04101604801883227,High
